cep_consultado,api,logradouro,complemento,bairro,localidade,uf,raw_json
01222001,ViaCEP,Rua Major Sertório,lado ímpar,Vila Buarque,São Paulo,SP,"{'cep': '01222-001', 'logradouro': 'Rua Major Sertório', 'complemento': 'lado ímpar', 'unidade': '', 'bairro': 'Vila Buarque', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01050030,ViaCEP,Rua Major Quedinho,,Centro,São Paulo,SP,"{'cep': '01050-030', 'logradouro': 'Rua Major Quedinho', 'complemento': '', 'unidade': '', 'bairro': 'Centro', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01244000,ViaCEP,Rua Bahia,lado par,Higienópolis,São Paulo,SP,"{'cep': '01244-000', 'logradouro': 'Rua Bahia', 'complemento': 'lado par', 'unidade': '', 'bairro': 'Higienópolis', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01202010,ViaCEP,Rua Chácara do Carvalho,,Campos Elíseos,São Paulo,SP,"{'cep': '01202-010', 'logradouro': 'Rua Chácara do Carvalho', 'complemento': '', 'unidade': '', 'bairro': 'Campos Elíseos', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01126000,ViaCEP,Rua Júlio Conceição,lado par,Bom Retiro,São Paulo,SP,"{'cep': '01126-000', 'logradouro': 'Rua Júlio Conceição', 'complemento': 'lado par', 'unidade': '', 'bairro': 'Bom Retiro', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01135020,ViaCEP,Rua Cônego Vicente Miguel Marino,,Barra Funda,São Paulo,SP,"{'cep': '01135-020', 'logradouro': 'Rua Cônego Vicente Miguel Marino', 'complemento': '', 'unidade': '', 'bairro': 'Barra Funda', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01150001,ViaCEP,Avenida General Olímpio da Silveira,lado ímpar,Santa Cecília,São Paulo,SP,"{'cep': '01150-001', 'logradouro': 'Avenida General Olímpio da Silveira', 'complemento': 'lado ímpar', 'unidade': '', 'bairro': 'Santa Cecília', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01308020,ViaCEP,Rua Herculano de Freitas,,Bela Vista,São Paulo,SP,"{'cep': '01308-020', 'logradouro': 'Rua Herculano de Freitas', 'complemento': '', 'unidade': '', 'bairro': 'Bela Vista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01231010,ViaCEP,Rua Doutor Gabriel dos Santos,lado par,Santa Cecília,São Paulo,SP,"{'cep': '01231-010', 'logradouro': 'Rua Doutor Gabriel dos Santos', 'complemento': 'lado par', 'unidade': '', 'bairro': 'Santa Cecília', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01229001,ViaCEP,Rua Doutor Veiga Filho,lado ímpar,Santa Cecília,São Paulo,SP,"{'cep': '01229-001', 'logradouro': 'Rua Doutor Veiga Filho', 'complemento': 'lado ímpar', 'unidade': '', 'bairro': 'Santa Cecília', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01122000,ViaCEP,Rua Ribeiro de Lima,,Bom Retiro,São Paulo,SP,"{'cep': '01122-000', 'logradouro': 'Rua Ribeiro de Lima', 'complemento': '', 'unidade': '', 'bairro': 'Bom Retiro', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01151000,ViaCEP,Rua Brigadeiro Galvão,,Barra Funda,São Paulo,SP,"{'cep': '01151-000', 'logradouro': 'Rua Brigadeiro Galvão', 'complemento': '', 'unidade': '', 'bairro': 'Barra Funda', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
