cep_consultado,api,logradouro,complemento,bairro,localidade,uf,raw_json
58434500,AwesomeAPI,Avenida Marechal Floriano Peixoto,,Serrotão,Campina Grande,PB,"{'cep': '58434500', 'address_type': 'Avenida', 'address_name': 'Marechal Floriano Peixoto', 'address': 'Avenida Marechal Floriano Peixoto', 'state': 'PB', 'district': 'Serrotão', 'lat': '-7.24317', 'lng': '-35.93613', 'city': 'Campina Grande', 'city_ibge': '2504009', 'ddd': '83'}"
58483000,AwesomeAPI,,,,Barra de São Miguel,PB,"{'cep': '58483000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.75367', 'lng': '-36.31704', 'city': 'Barra de São Miguel', 'city_ibge': '2501708', 'ddd': '83'}"
58500000,AwesomeAPI,,,,Monteiro,PB,"{'cep': '58500000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.89193', 'lng': '-37.12483', 'city': 'Monteiro', 'city_ibge': '2509701', 'ddd': '83'}"
58535000,AwesomeAPI,,,,Congo,PB,"{'cep': '58535000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.79101', 'lng': '-36.65859', 'city': 'Congo', 'city_ibge': '2504702', 'ddd': '83'}"
58540000,AwesomeAPI,,,,Sumé,PB,"{'cep': '58540000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.66616', 'lng': '-36.88145', 'city': 'Sumé', 'city_ibge': '2516300', 'ddd': '83'}"
58550000,AwesomeAPI,,,,Prata,PB,"{'cep': '58550000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.69443', 'lng': '-37.08312', 'city': 'Prata', 'city_ibge': '2512200', 'ddd': '83'}"
58588000,AwesomeAPI,,,,Coxixola,PB,"{'cep': '58588000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.62275', 'lng': '-36.60814', 'city': 'Coxixola', 'city_ibge': '2504850', 'ddd': '83'}"
58595000,AwesomeAPI,,,,Caraúbas,PB,"{'cep': '58595000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.72729', 'lng': '-36.49163', 'city': 'Caraúbas', 'city_ibge': '2504074', 'ddd': '83'}"
58570000,AwesomeAPI,,,,São José dos Cordeiros,PB,"{'cep': '58570000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.38929', 'lng': '-36.80798', 'city': 'São José dos Cordeiros', 'city_ibge': '2514800', 'ddd': '83'}"
58600000,AwesomeAPI,,,,Santa Luzia,PB,"{'cep': '58600000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.87198', 'lng': '-36.92261', 'city': 'Santa Luzia', 'city_ibge': '2513406', 'ddd': '83'}"
58620000,AwesomeAPI,,,,Várzea,PB,"{'cep': '58620000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.771', 'lng': '-36.99046', 'city': 'Várzea', 'city_ibge': '2517100', 'ddd': '83'}"
58625000,AwesomeAPI,,,,São Mamede,PB,"{'cep': '58625000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.9275', 'lng': '-37.0969', 'city': 'São Mamede', 'city_ibge': '2514909', 'ddd': '83'}"
58640000,AwesomeAPI,,,,Junco do Seridó,PB,"{'cep': '58640000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.99414', 'lng': '-36.71531', 'city': 'Junco do Seridó', 'city_ibge': '2507804', 'ddd': '83'}"
58660000,AwesomeAPI,,,,Juazeirinho,PB,"{'cep': '58660000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.06637', 'lng': '-36.57695', 'city': 'Juazeirinho', 'city_ibge': '2507705', 'ddd': '83'}"
58665000,AwesomeAPI,,,,Tenório,PB,"{'cep': '58665000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.93883', 'lng': '-36.62776', 'city': 'Tenório', 'city_ibge': '2516755', 'ddd': '83'}"
58680000,AwesomeAPI,,,,Taperoá,PB,"{'cep': '58680000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.20698', 'lng': '-36.82467', 'city': 'Taperoá', 'city_ibge': '2516508', 'ddd': '83'}"
58700330,AwesomeAPI,Avenida Vidal de Negreiros,,Brasília,Patos,PB,"{'cep': '58700330', 'address_type': 'Avenida', 'address_name': 'Vidal de Negreiros', 'address': 'Avenida Vidal de Negreiros', 'state': 'PB', 'district': 'Brasília', 'lat': '-7.02393', 'lng': '-37.27339', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58700510,AwesomeAPI,Rua Tiradentes,,Centro,Patos,PB,"{'cep': '58700510', 'address_type': 'Rua', 'address_name': 'Tiradentes', 'address': 'Rua Tiradentes', 'state': 'PB', 'district': 'Centro', 'lat': '-7.0288', 'lng': '-37.27542', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58700420,AwesomeAPI,Rua Presidente Juscelino Kubitschek,,Brasília,Patos,PB,"{'cep': '58700420', 'address_type': 'Rua', 'address_name': 'Presidente Juscelino Kubitschek', 'address': 'Rua Presidente Juscelino Kubitschek', 'state': 'PB', 'district': 'Brasília', 'lat': '-6.98326', 'lng': '-34.83182', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58700530,AwesomeAPI,Rua Coronel Miguel Sátiro,,Centro,Patos,PB,"{'cep': '58700530', 'address_type': 'Rua', 'address_name': 'Coronel Miguel Sátiro', 'address': 'Rua Coronel Miguel Sátiro', 'state': 'PB', 'district': 'Centro', 'lat': '-7.02893', 'lng': '-37.27454', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58700970,AwesomeAPI,"Rua Presidente Epitácio Pessoa, 69",,Centro,Patos,PB,"{'cep': '58700970', 'address_type': 'Rua', 'address_name': 'Presidente Epitácio Pessoa, 69', 'address': 'Rua Presidente Epitácio Pessoa, 69', 'state': 'PB', 'district': 'Centro', 'lat': '-7.02386', 'lng': '-37.27798', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58701040,AwesomeAPI,Rua Porfírio da Costa,,Santo Antônio,Patos,PB,"{'cep': '58701040', 'address_type': 'Rua', 'address_name': 'Porfírio da Costa', 'address': 'Rua Porfírio da Costa', 'state': 'PB', 'district': 'Santo Antônio', 'lat': '-7.03298', 'lng': '-37.27681', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58701070,AwesomeAPI,Rua Alto Casteliano,,Santo Antônio,Patos,PB,"{'cep': '58701070', 'address_type': 'Rua', 'address_name': 'Alto Casteliano', 'address': 'Rua Alto Casteliano', 'state': 'PB', 'district': 'Santo Antônio', 'lat': '-7.03344', 'lng': '-37.28046', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58701340,AwesomeAPI,Rua Professor José Araújo,,Maternidade,Patos,PB,"{'cep': '58701340', 'address_type': 'Rua', 'address_name': 'Professor José Araújo', 'address': 'Rua Professor José Araújo', 'state': 'PB', 'district': 'Maternidade', 'lat': '-7.03592', 'lng': '-37.28835', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58701380,AwesomeAPI,Rua Severino Soares,,Maternidade,Patos,PB,"{'cep': '58701380', 'address_type': 'Rua', 'address_name': 'Severino Soares', 'address': 'Rua Severino Soares', 'state': 'PB', 'district': 'Maternidade', 'lat': '-7.03735', 'lng': '-37.28867', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58701390,AwesomeAPI,Rua Miguel Fernandes Mota,,Maternidade,Patos,PB,"{'cep': '58701390', 'address_type': 'Rua', 'address_name': 'Miguel Fernandes Mota', 'address': 'Rua Miguel Fernandes Mota', 'state': 'PB', 'district': 'Maternidade', 'lat': '-7.03976', 'lng': '-37.28873', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58703370,AwesomeAPI,Rua Eleonora Xavier,,Morada do Sol,Patos,PB,"{'cep': '58703370', 'address_type': 'Rua', 'address_name': 'Eleonora Xavier', 'address': 'Rua Eleonora Xavier', 'state': 'PB', 'district': 'Morada do Sol', 'lat': '-7.0313', 'lng': '-37.30167', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58703380,AwesomeAPI,Rua Antônio Franco da Costa,,Morada do Sol,Patos,PB,"{'cep': '58703380', 'address_type': 'Rua', 'address_name': 'Antônio Franco da Costa', 'address': 'Rua Antônio Franco da Costa', 'state': 'PB', 'district': 'Morada do Sol', 'lat': '-7.03157', 'lng': '-37.30667', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58703650,AwesomeAPI,Rua Marcélio Carreiro de Amorim Medeiros Dias,,Novo Horizonte,Patos,PB,"{'cep': '58703650', 'address_type': 'Rua', 'address_name': 'Marcélio Carreiro de Amorim Medeiros Dias', 'address': 'Rua Marcélio Carreiro de Amorim Medeiros Dias', 'state': 'PB', 'district': 'Novo Horizonte', 'lat': '-7.01404', 'lng': '-37.29122', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58704250,AwesomeAPI,Rua Santa Luzia,,Belo Horizonte,Patos,PB,"{'cep': '58704250', 'address_type': 'Rua', 'address_name': 'Santa Luzia', 'address': 'Rua Santa Luzia', 'state': 'PB', 'district': 'Belo Horizonte', 'lat': '-7.02001', 'lng': '-37.28427', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58704270,AwesomeAPI,Rua Inácio Fernandes Nóbrega,,Belo Horizonte,Patos,PB,"{'cep': '58704270', 'address_type': 'Rua', 'address_name': 'Inácio Fernandes Nóbrega', 'address': 'Rua Inácio Fernandes Nóbrega', 'state': 'PB', 'district': 'Belo Horizonte', 'lat': '-7.02211', 'lng': '-37.28495', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58704330,AwesomeAPI,Rua Moacir Leitão,,Belo Horizonte,Patos,PB,"{'cep': '58704330', 'address_type': 'Rua', 'address_name': 'Moacir Leitão', 'address': 'Rua Moacir Leitão', 'state': 'PB', 'district': 'Belo Horizonte', 'lat': '-7.01963', 'lng': '-37.28674', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58704736,AwesomeAPI,Rua Manoel da Costa Filgueiras,,Novo Horizonte,Patos,PB,"{'cep': '58704736', 'address_type': 'Rua', 'address_name': 'Manoel da Costa Filgueiras', 'address': 'Rua Manoel da Costa Filgueiras', 'state': 'PB', 'district': 'Novo Horizonte', 'lat': '-7.0157', 'lng': '-37.29098', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58705350,AwesomeAPI,Rua Severino Inácio,,Sete Casas,Patos,PB,"{'cep': '58705350', 'address_type': 'Rua', 'address_name': 'Severino Inácio', 'address': 'Rua Severino Inácio', 'state': 'PB', 'district': 'Sete Casas', 'lat': '-7.00914', 'lng': '-37.28874', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58706310,AwesomeAPI,Rua Lima Campos,,São Sebastião,Patos,PB,"{'cep': '58706310', 'address_type': 'Rua', 'address_name': 'Lima Campos', 'address': 'Rua Lima Campos', 'state': 'PB', 'district': 'São Sebastião', 'lat': '-7.01768', 'lng': '-37.26545', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58705624,AwesomeAPI,Rua Maria das Dores Cavalcante Silva,,Jardim Magnólia,Patos,PB,"{'cep': '58705624', 'address_type': 'Rua', 'address_name': 'Maria das Dores Cavalcante Silva', 'address': 'Rua Maria das Dores Cavalcante Silva', 'state': 'PB', 'district': 'Jardim Magnólia', 'lat': '-7.00457', 'lng': '-37.2906', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58713000,AwesomeAPI,,,,Malta,PB,"{'cep': '58713000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.90576', 'lng': '-37.52064', 'city': 'Malta', 'city_ibge': '2508802', 'ddd': '83'}"
58706540,AwesomeAPI,Rua João Xavier de Sá,,Salgadinho,Patos,PB,"{'cep': '58706540', 'address_type': 'Rua', 'address_name': 'João Xavier de Sá', 'address': 'Rua João Xavier de Sá', 'state': 'PB', 'district': 'Salgadinho', 'lat': '-7.02312', 'lng': '-37.26473', 'city': 'Patos', 'city_ibge': '2510808', 'ddd': '83'}"
58714000,AwesomeAPI,,,,Condado,PB,"{'cep': '58714000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.90975', 'lng': '-37.60048', 'city': 'Condado', 'city_ibge': '2504504', 'ddd': '83'}"
58723000,AwesomeAPI,,,,São José de Espinharas,PB,"{'cep': '58723000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.84512', 'lng': '-37.32505', 'city': 'São José de Espinharas', 'city_ibge': '2514404', 'ddd': '83'}"
58725000,AwesomeAPI,,,,São José do Bonfim,PB,"{'cep': '58725000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.16074', 'lng': '-37.30636', 'city': 'São José do Bonfim', 'city_ibge': '2514602', 'ddd': '83'}"
58740000,AwesomeAPI,,,,Mãe DÁgua,PB,"{'cep': '58740000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.25398', 'lng': '-37.43103', 'city': 'Mãe DÁgua', 'city_ibge': '2508703', 'ddd': '83'}"
58758000,AwesomeAPI,,,,São José de Princesa,PB,"{'cep': '58758000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.73951', 'lng': '-38.09618', 'city': 'São José de Princesa', 'city_ibge': '2514552', 'ddd': '83'}"
58745000,AwesomeAPI,,,,Imaculada,PB,"{'cep': '58745000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.38932', 'lng': '-37.50812', 'city': 'Imaculada', 'city_ibge': '2506707', 'ddd': '83'}"
58763000,AwesomeAPI,,,,Emas,PB,"{'cep': '58763000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.10586', 'lng': '-37.71546', 'city': 'Emas', 'city_ibge': '2505907', 'ddd': '83'}"
58765000,AwesomeAPI,,,,Piancó,PB,"{'cep': '58765000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.19951', 'lng': '-37.92395', 'city': 'Piancó', 'city_ibge': '2511301', 'ddd': '83'}"
58780000,AwesomeAPI,,,,Itaporanga,PB,"{'cep': '58780000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.30456', 'lng': '-38.1501', 'city': 'Itaporanga', 'city_ibge': '2507002', 'ddd': '83'}"
58800030,AwesomeAPI,Rua Coronel João Alvino Gomes de Sá,,Centro,Sousa,PB,"{'cep': '58800030', 'address_type': 'Rua', 'address_name': 'Coronel João Alvino Gomes de Sá', 'address': 'Rua Coronel João Alvino Gomes de Sá', 'state': 'PB', 'district': 'Centro', 'lat': '-6.75852', 'lng': '-38.22717', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58800040,AwesomeAPI,Rua Luís Pereira da Silva,,Centro,Sousa,PB,"{'cep': '58800040', 'address_type': 'Rua', 'address_name': 'Luís Pereira da Silva', 'address': 'Rua Luís Pereira da Silva', 'state': 'PB', 'district': 'Centro', 'lat': '-6.76349', 'lng': '-38.23062', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58800262,AwesomeAPI,Rua Gualberto Filho,,Centro,Sousa,PB,"{'cep': '58800262', 'address_type': 'Rua', 'address_name': 'Gualberto Filho', 'address': 'Rua Gualberto Filho', 'state': 'PB', 'district': 'Centro', 'lat': '-6.75793', 'lng': '-38.22797', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58800270,AwesomeAPI,Rua Emílio Pires,,Centro,Sousa,PB,"{'cep': '58800270', 'address_type': 'Rua', 'address_name': 'Emílio Pires', 'address': 'Rua Emílio Pires', 'state': 'PB', 'district': 'Centro', 'lat': '-6.75706', 'lng': '-38.23078', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58800280,AwesomeAPI,Rua Doutor Carlos Pires de Sá,,Centro,Sousa,PB,"{'cep': '58800280', 'address_type': 'Rua', 'address_name': 'Doutor Carlos Pires de Sá', 'address': 'Rua Doutor Carlos Pires de Sá', 'state': 'PB', 'district': 'Centro', 'lat': '-6.7672', 'lng': '-38.22769', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58800310,AwesomeAPI,Rua Nabor Meira,,Centro,Sousa,PB,"{'cep': '58800310', 'address_type': 'Rua', 'address_name': 'Nabor Meira', 'address': 'Rua Nabor Meira', 'state': 'PB', 'district': 'Centro', 'lat': '-6.75827', 'lng': '-38.23095', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58800350,AwesomeAPI,Rua Cônego Bernardino Vieira,,Centro,Sousa,PB,"{'cep': '58800350', 'address_type': 'Rua', 'address_name': 'Cônego Bernardino Vieira', 'address': 'Rua Cônego Bernardino Vieira', 'state': 'PB', 'district': 'Centro', 'lat': '-6.758', 'lng': '-38.23321', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58800520,AwesomeAPI,Rua Raimundo de Paiva Gadelha,,Centro,Sousa,PB,"{'cep': '58800520', 'address_type': 'Rua', 'address_name': 'Raimundo de Paiva Gadelha', 'address': 'Rua Raimundo de Paiva Gadelha', 'state': 'PB', 'district': 'Centro', 'lat': '-6.76895', 'lng': '-38.23638', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58800570,AwesomeAPI,Rua Boa Ventura Rocha,,Centro,Sousa,PB,"{'cep': '58800570', 'address_type': 'Rua', 'address_name': 'Boa Ventura Rocha', 'address': 'Rua Boa Ventura Rocha', 'state': 'PB', 'district': 'Centro', 'lat': '-6.76157', 'lng': '-38.23094', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58800610,AwesomeAPI,Rua João Rocha,,Centro,Sousa,PB,"{'cep': '58800610', 'address_type': 'Rua', 'address_name': 'João Rocha', 'address': 'Rua João Rocha', 'state': 'PB', 'district': 'Centro', 'lat': '-6.761', 'lng': '-38.23353', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58801205,AwesomeAPI,Rua Maria do Socorro Medeiros dos Santos,,Guanabara,Sousa,PB,"{'cep': '58801205', 'address_type': 'Rua', 'address_name': 'Maria do Socorro Medeiros dos Santos', 'address': 'Rua Maria do Socorro Medeiros dos Santos', 'state': 'PB', 'district': 'Guanabara', 'lat': '-6.75651', 'lng': '-38.22961', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58801450,AwesomeAPI,Rua Floriano Peixoto,,Areias,Sousa,PB,"{'cep': '58801450', 'address_type': 'Rua', 'address_name': 'Floriano Peixoto', 'address': 'Rua Floriano Peixoto', 'state': 'PB', 'district': 'Areias', 'lat': '-6.75538', 'lng': '-38.22345', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58804410,AwesomeAPI,Rua Simão Afonso de Carvalho,,Doutor Zezé,Sousa,PB,"{'cep': '58804410', 'address_type': 'Rua', 'address_name': 'Simão Afonso de Carvalho', 'address': 'Rua Simão Afonso de Carvalho', 'state': 'PB', 'district': 'Doutor Zezé', 'lat': '-6.76794', 'lng': '-38.22609', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58806460,AwesomeAPI,Rua Tomé Batista dos Santos,,André Gadelha,Sousa,PB,"{'cep': '58806460', 'address_type': 'Rua', 'address_name': 'Tomé Batista dos Santos', 'address': 'Rua Tomé Batista dos Santos', 'state': 'PB', 'district': 'André Gadelha', 'lat': '-6.7491', 'lng': '-38.24366', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58804430,AwesomeAPI,Rua Raimunda Xavier Ferreira de Sousa,,Doutor Zezé,Sousa,PB,"{'cep': '58804430', 'address_type': 'Rua', 'address_name': 'Raimunda Xavier Ferreira de Sousa', 'address': 'Rua Raimunda Xavier Ferreira de Sousa', 'state': 'PB', 'district': 'Doutor Zezé', 'lat': '-6.76839', 'lng': '-38.22596', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58807058,AwesomeAPI,Rua Francisco Estrela de Oliveira,,Jardim Iracema,Sousa,PB,"{'cep': '58807058', 'address_type': 'Rua', 'address_name': 'Francisco Estrela de Oliveira', 'address': 'Rua Francisco Estrela de Oliveira', 'state': 'PB', 'district': 'Jardim Iracema', 'lat': '-6.75635', 'lng': '-38.22228', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58807630,AwesomeAPI,Rua Djacir Marques Pinto,,Alto do Capanema,Sousa,PB,"{'cep': '58807630', 'address_type': 'Rua', 'address_name': 'Djacir Marques Pinto', 'address': 'Rua Djacir Marques Pinto', 'state': 'PB', 'district': 'Alto do Capanema', 'lat': '-6.76451', 'lng': '-38.23237', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58814000,AwesomeAPI,,,,Sousa,PB,"{'cep': '58814000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.75859', 'lng': '-38.23044', 'city': 'Sousa', 'city_ibge': '2516201', 'ddd': '83'}"
58815000,AwesomeAPI,,,,São José da Lagoa Tapada,PB,"{'cep': '58815000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.94068', 'lng': '-38.16599', 'city': 'São José da Lagoa Tapada', 'city_ibge': '2514206', 'ddd': '83'}"
58830000,AwesomeAPI,,,,Jericó,PB,"{'cep': '58830000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.55379', 'lng': '-37.80834', 'city': 'Jericó', 'city_ibge': '2507408', 'ddd': '83'}"
58840000,AwesomeAPI,,,,Pombal,PB,"{'cep': '58840000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.78215', 'lng': '-37.803', 'city': 'Pombal', 'city_ibge': '2512101', 'ddd': '83'}"
58853000,AwesomeAPI,,,,São Domingos,PB,"{'cep': '58853000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.8155', 'lng': '-37.94143', 'city': 'São Domingos', 'city_ibge': '2513968', 'ddd': '83'}"
58860000,AwesomeAPI,,,,Paulista,PB,"{'cep': '58860000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.59716', 'lng': '-37.62361', 'city': 'Paulista', 'city_ibge': '2510907', 'ddd': '83'}"
58865000,AwesomeAPI,,,,São Bento,PB,"{'cep': '58865000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.48579', 'lng': '-37.44948', 'city': 'São Bento', 'city_ibge': '2513901', 'ddd': '83'}"
58880000,AwesomeAPI,,,,Brejo dos Santos,PB,"{'cep': '58880000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.3734', 'lng': '-37.82625', 'city': 'Brejo dos Santos', 'city_ibge': '2502904', 'ddd': '83'}"
58884000,AwesomeAPI,,,,Catolé do Rocha,PB,"{'cep': '58884000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.34683', 'lng': '-37.74584', 'city': 'Catolé do Rocha', 'city_ibge': '2504306', 'ddd': '83'}"
58890000,AwesomeAPI,,,,Brejo do Cruz,PB,"{'cep': '58890000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.34286', 'lng': '-37.49386', 'city': 'Brejo do Cruz', 'city_ibge': '2502805', 'ddd': '83'}"
58900000,AwesomeAPI,,,,Cajazeiras,PB,"{'cep': '58900000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.88637', 'lng': '-38.56147', 'city': 'Cajazeiras', 'city_ibge': '2503704', 'ddd': '83'}"
58885000,AwesomeAPI,,,,Catolé do Rocha,PB,"{'cep': '58885000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.34683', 'lng': '-37.74584', 'city': 'Catolé do Rocha', 'city_ibge': '2504306', 'ddd': '83'}"
58887000,AwesomeAPI,,,,Bom Sucesso,PB,"{'cep': '58887000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.4464', 'lng': '-37.92809', 'city': 'Bom Sucesso', 'city_ibge': '2502300', 'ddd': '83'}"
58915000,AwesomeAPI,,,,Uiraúna,PB,"{'cep': '58915000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.52067', 'lng': '-38.41472', 'city': 'Uiraúna', 'city_ibge': '2516904', 'ddd': '83'}"
58928000,AwesomeAPI,,,,Joca Claudino,PB,"{'cep': '58928000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.48363', 'lng': '-38.47769', 'city': 'Joca Claudino', 'city_ibge': '2513653', 'ddd': '83'}"
58895000,AwesomeAPI,,,,Belém do Brejo do Cruz,PB,"{'cep': '58895000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.189', 'lng': '-37.53546', 'city': 'Belém do Brejo do Cruz', 'city_ibge': '2502003', 'ddd': '83'}"
58893000,AwesomeAPI,,,,São José do Brejo do Cruz,PB,"{'cep': '58893000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.21226', 'lng': '-37.35385', 'city': 'São José do Brejo do Cruz', 'city_ibge': '2514651', 'ddd': '83'}"
58910000,AwesomeAPI,,,,São João do Rio do Peixe,PB,"{'cep': '58910000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.72486', 'lng': '-38.4525', 'city': 'São João do Rio do Peixe', 'city_ibge': '2500700', 'ddd': '83'}"
58940000,AwesomeAPI,,,,São José de Piranhas,PB,"{'cep': '58940000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.11904', 'lng': '-38.50226', 'city': 'São José de Piranhas', 'city_ibge': '2514503', 'ddd': '83'}"
58935000,AwesomeAPI,,,,Cachoeira dos Índios,PB,"{'cep': '58935000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-6.92309', 'lng': '-38.67346', 'city': 'Cachoeira dos Índios', 'city_ibge': '2503308', 'ddd': '83'}"
58955000,AwesomeAPI,,,,Serra Grande,PB,"{'cep': '58955000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.21355', 'lng': '-38.36862', 'city': 'Serra Grande', 'city_ibge': '2515708', 'ddd': '83'}"
58950000,AwesomeAPI,,,,Monte Horebe,PB,"{'cep': '58950000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.21343', 'lng': '-38.58363', 'city': 'Monte Horebe', 'city_ibge': '2509602', 'ddd': '83'}"
58985000,AwesomeAPI,,,,Santana de Mangueira,PB,"{'cep': '58985000', 'address_type': '', 'address_name': '', 'address': '', 'state': 'PB', 'district': '', 'lat': '-7.55141', 'lng': '-38.33365', 'city': 'Santana de Mangueira', 'city_ibge': '2513505', 'ddd': '83'}"
